ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,type
60,1,0,0,0,0,64,6,64240,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,bruteforce
60,1,0,0,0,0,64,6,5792,1,0,0,0,0,18,0.000277,0,0,0,0,0.000277,0.000277,0.000277,0.000277,bruteforce
52,1,0,0,0,0,64,6,64256,1,1,0,0,0,16,1.80E-05,0,0,0,0,0.000295,1.80E-05,0.000295,1.80E-05,bruteforce
74,1,0,0,0,0,64,6,64256,1,1,22,0,0,24,0,0,0,0,0,0.000368,7.30E-05,0.000368,7.30E-05,bruteforce
52,1,0,0,0,0,64,6,5824,23,1,0,0,0,16,0.000278,0,0,0,0,0.000646,0.000278,0.000646,0.000278,bruteforce
90,1,0,0,0,0,64,6,5824,23,1,38,0,0,24,0,0,0,0,0,0.002574,0.001928,0.002574,0.001928,bruteforce
52,1,0,0,0,0,64,6,64256,39,23,0,0,0,16,1.40E-05,0,0,0,0,0.002588,1.40E-05,0.002588,1.40E-05,bruteforce
1028,1,0,0,0,0,64,6,64256,39,23,976,0,0,24,0,0,0,0,0,0.00277,0.000182,0.00277,0.000182,bruteforce
836,1,0,0,0,0,64,6,5824,23,39,784,0,0,24,0,0,0,0,0,0.002864,9.40E-05,0.002864,9.40E-05,bruteforce
52,1,0,0,0,0,64,6,64128,823,999,0,0,0,16,3.20E-05,0,0,0,0,0.002896,3.20E-05,0.002896,3.20E-05,bruteforce
52,1,0,0,0,0,64,6,7744,999,823,0,0,0,16,0.036566,0,0,0,0,0.039336,0.03644,0.039336,0.03644,bruteforce
76,1,0,0,0,0,64,6,64128,823,999,24,0,0,24,0,0,0,0,0,0.039362,2.60E-05,0.039362,2.60E-05,bruteforce
52,1,0,0,0,0,64,6,7744,1023,823,0,0,0,16,0.00025,0,0,0,0,0.039612,0.00025,0.039612,0.00025,bruteforce
332,1,0,0,0,0,64,6,7744,1023,823,280,0,0,24,0,0,0,0,0,0.041664,0.002052,0.041664,0.002052,bruteforce
52,1,0,0,0,0,64,6,64128,1103,1023,0,0,0,16,3.40E-05,0,0,0,0,0.041698,3.40E-05,0.041698,3.40E-05,bruteforce
324,1,0,0,0,0,64,6,64128,1103,1023,272,0,0,24,0,0,0,0,0,0.045678,0.00398,0.045678,0.00398,bruteforce
900,1,0,0,0,0,64,6,9728,1295,1103,848,0,0,24,0.009849,0,0,0,0,0.055527,0.009849,0.055527,0.009849,bruteforce
52,1,0,0,0,0,64,6,64128,1951,1295,0,0,0,16,3.50E-05,0,0,0,0,0.055562,3.50E-05,0.055562,3.50E-05,bruteforce
68,1,0,0,0,0,64,6,64128,1951,1295,16,0,0,24,0,0,0,0,0,0.058103,0.002541,0.058103,0.002541,bruteforce
52,1,0,0,0,0,64,6,9728,1311,1951,0,0,0,16,0.031077,0,0,0,0,0.08918,0.031077,0.08918,0.031077,bruteforce
104,1,0,0,0,0,64,6,64128,1951,1311,52,0,0,24,0,0,0,0,0,0.089207,2.70E-05,0.089207,2.70E-05,bruteforce
52,1,0,0,0,0,64,6,9728,1363,1951,0,0,0,16,0.000338,0,0,0,0,0.089545,0.000338,0.089545,0.000338,bruteforce
104,1,0,0,0,0,64,6,9728,1363,1951,52,0,0,24,0,0,0,0,0,0.089693,0.000148,0.089693,0.000148,bruteforce
120,1,0,0,0,0,64,6,64128,2003,1363,68,0,0,24,0.000148,0,0,0,0,0.089841,0.000148,0.089841,0.000148,bruteforce
120,1,0,0,0,0,64,6,9728,1431,2003,68,0,0,24,0.003664,0,0,0,0,0.093505,0.003664,0.093505,0.003664,bruteforce
104,1,0,0,0,0,64,6,64128,2071,1431,52,0,0,24,0.000172,0,0,0,0,0.093677,0.000172,0.093677,0.000172,bruteforce
52,1,0,0,0,0,64,6,64128,2071,1483,0,0,0,17,0,0,0,0,0,0.093712,3.50E-05,0.093712,3.50E-05,bruteforce
52,1,0,0,0,0,64,6,9728,1484,2071,0,0,0,17,0.000516,0,0,0,0,0.094228,0.000516,0.094228,0.000516,bruteforce
52,1,0,0,0,0,64,6,64128,2072,1484,0,0,0,16,1.80E-05,0,0,0,0,0.094246,1.80E-05,0.094246,1.80E-05,bruteforce
60,1,0,0,0,0,64,6,64240,0,0,0,1,0,2,0,0,0,0,0,0.313115,0.218869,0,0,bruteforce
60,1,0,0,0,0,64,6,64240,0,0,0,2,0,2,0,0,0,0,0,0.313295,0.00018,0,0,bruteforce
60,1,0,0,0,0,64,6,5792,1,0,0,1,0,18,0.000316,0,0,0,0,0.313431,0.000136,0.000316,0.000316,bruteforce
52,1,0,0,0,0,64,6,64256,1,1,0,1,0,16,4.90E-05,0,0,0,0,0.31348,4.90E-05,0.000365,4.90E-05,bruteforce
